step 17338 | loss: 3.074658 | lr: 0.000142 | norm: 0.2104 | time: 1140.58ms | tok/sec: 459666.18
step 17339 | loss: 3.061485 | lr: 0.000142 | norm: 0.2060 | time: 1137.15ms | tok/sec: 461053.40
step 17340 | loss: 3.068058 | lr: 0.000142 | norm: 0.2373 | time: 1138.07ms | tok/sec: 460681.15
step 17341 | loss: 3.061529 | lr: 0.000142 | norm: 0.2168 | time: 1141.16ms | tok/sec: 459435.60
step 17342 | loss: 3.091938 | lr: 0.000142 | norm: 0.2283 | time: 1141.08ms | tok/sec: 459465.36
step 17343 | loss: 3.109084 | lr: 0.000142 | norm: 0.2181 | time: 1141.61ms | tok/sec: 459252.24
step 17344 | loss: 3.092745 | lr: 0.000142 | norm: 0.2254 | time: 1140.50ms | tok/sec: 459700.39
step 17345 | loss: 3.089087 | lr: 0.000142 | norm: 0.2152 | time: 1139.52ms | tok/sec: 460094.26
step 17346 | loss: 3.017054 | lr: 0.000142 | norm: 0.2139 | time: 1141.73ms | tok/sec: 459206.11
step 17347 | loss: 3.031799 | lr: 0.000142 | norm: 0.2121 | time: 1139.33ms | tok/sec: 460171.66
step 17348 | loss: 2.992533 | lr: 0.000142 | norm: 0.2106 | time: 1140.96ms | tok/sec: 459516.53
step 17349 | loss: 3.058891 | lr: 0.000142 | norm: 0.2021 | time: 1136.76ms | tok/sec: 461212.57
step 17350 | loss: 2.996499 | lr: 0.000142 | norm: 0.2173 | time: 1139.12ms | tok/sec: 460257.77
step 17351 | loss: 2.955698 | lr: 0.000142 | norm: 0.2200 | time: 1140.54ms | tok/sec: 459684.34
step 17352 | loss: 2.998168 | lr: 0.000142 | norm: 0.2172 | time: 1141.94ms | tok/sec: 459120.88
step 17353 | loss: 3.033763 | lr: 0.000142 | norm: 0.2098 | time: 1142.02ms | tok/sec: 459089.92
step 17354 | loss: 2.972308 | lr: 0.000142 | norm: 0.2142 | time: 1141.58ms | tok/sec: 459266.91
step 17355 | loss: 2.999094 | lr: 0.000142 | norm: 0.2113 | time: 1140.49ms | tok/sec: 459702.31
step 17356 | loss: 3.074279 | lr: 0.000142 | norm: 0.1966 | time: 1139.44ms | tok/sec: 460128.24
step 17357 | loss: 3.020492 | lr: 0.000142 | norm: 0.2146 | time: 1140.31ms | tok/sec: 459774.98
step 17358 | loss: 3.098450 | lr: 0.000142 | norm: 0.2410 | time: 1139.72ms | tok/sec: 460015.81
step 17359 | loss: 3.158156 | lr: 0.000142 | norm: 0.2314 | time: 1140.14ms | tok/sec: 459844.78
step 17360 | loss: 3.067743 | lr: 0.000142 | norm: 0.2177 | time: 1140.53ms | tok/sec: 459689.53
